X,Y,OBJECTID,AIC,LifeboatStationNameProper,LaunchTime,YearOfCall,LifeboatClass,LifeboatNumber,RoSType,CasualtyCategory,CasualtyTypeFull,ReasonForLaunch,OutcomeOfService,Activity,VisibilityAtIncident,WeatherAtIncident,SeaConditionsAtIncident,WeatherAtLaunch,VisibilityAtLaunch,WindDirectionAtLaunch,SeaConditionsAtLaunch,DateOfLaunch,ROSNumber,GlobalID,CreationDate,Creator,EditDate,Editor
-9.0356,53.2657,48504,Sailing - Man overboard,GALWAY,05:55:00,2010,ATLANTIC 75,B-757,ILB,LEISURE,Yacht with engine,"Vessel abandoned, derelict or adrift",Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,270,SLIGHT,2010/07/26 00:00:00+00,,{6B654AE2-5E12-45CF-BAF0-1B7675F0648A},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.025,53.2667,49074,Walker - In water,GALWAY,18:15:00,2012,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Resolved unaided,WALKING / RUNNING,GOOD,OVERCAST,SMOOTH,OVERCAST,GOOD,180,SMOOTH,2012/06/27 00:00:00+00,,{84131190-6131-4515-9ABF-214DBCE7E7EB},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.035,53.2675,49106,Small craft - Dinghy sailing,GALWAY,17:48:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Sailing Dinghy,Capsize,Resolved unaided,SAILING,GOOD,CLOUDY,SLIGHT,CLOUDY,GOOD,225,SLIGHT,2012/07/02 00:00:00+00,,{983F01D9-012C-4D26-9089-A06D67728485},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0667,53.245,49113,Other marine vessels - Ill crewman,GALWAY,09:20:00,2012,ATLANTIC 85,B-853,ILB,COMMERCIAL,Passenger vessel,Illness,Rendered assistance,COMMERCIAL ACTIVITY,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,270,SMOOTH,2012/07/12 00:00:00+00,,{E8373658-2DAF-486C-A078-AA748EC031DF},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0229,53.2572,49289,Hoax and false alarm,GALWAY,09:45:00,2011,ATLANTIC 75,B-757,ILB,PEOPLE,Person on island,Stranded,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,315,SLIGHT,2011/07/15 00:00:00+00,,{67DED9EB-AF73-4E25-BED3-8B30E673E8D4},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.7839,53.2383,49377,Scuba diving,GALWAY,12:58:00,2008,,B-738,ILB,PEOPLE,Sub aqua diver,Person missing,Others assisted casualty,SCUBA DIVING,GOOD,PART CLOUDY,ROUGH,PART CLOUDY,GOOD,225,ROUGH,2008/08/02 00:00:00+00,,{D2F05820-E2BB-47BB-9BD8-DFB44FB97872},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.14,53.1244,49392,Motorboating - Other reason,GALWAY,21:20:00,2008,,B-738,ILB,LEISURE,Powered boat,Stranding or grounding,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,POOR,RAIN,ROUGH,RAIN,POOR,225,ROUGH,2008/08/02 00:00:00+00,,{9F3AF1D2-704D-4251-93CE-F8B12E61D059},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.3205,53.225,49740,Hoax and false alarm,GALWAY,23:11:00,2015,ATLANTIC 85,B-853,ILB,LEISURE,Yacht with engine,Thought to be in trouble,False alarm,SAILING,GOOD,PART CLOUDY,CHOPPY,PART CLOUDY,GOOD,135,CHOPPY,2015/07/16 00:00:00+00,,{8F4292C7-0A16-4D77-8D4A-7CE6A209F46C},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.145,53.125,49749,Sailing - Other reason,GALWAY,19:00:00,2015,ATLANTIC 85,B-853,ILB,LEISURE,Yacht with engine,Stranding or grounding,No service - lifeboat unsuitable,SAILING,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,315,SMOOTH,2015/07/15 00:00:00+00,,{058E3B72-E707-484C-8A19-E6147ACAF104},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.2631,53.2321,49834,Hoax and false alarm,GALWAY,04:15:00,2010,ATLANTIC 75,B-757,ILB,OTHER,Distress signals,Thought to be in trouble,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,270,SMOOTH,2010/08/01 00:00:00+00,,{CE5A669A-DA0A-4901-B8F4-D7C733BB8DC4},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0667,53.2417,50788,Angling from boat - Other reason,GALWAY,11:20:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Fishing Vessel (Leisure),Machinery failure,Resolved unaided,FISHING (LEISURE),GOOD,OVERCAST,SMOOTH,OVERCAST,GOOD,270,SMOOTH,2012/08/11 00:00:00+00,,{6DC53F75-C0CF-4C62-95BC-362E524B6DCB},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0917,53.2567,54833,Person in distress,GALWAY,07:56:00,2013,ATLANTIC 85,B-853,ILB,PEOPLE,Person on man made structure,Person in distress,Others assisted casualty,SUSPECTED SELF HARM,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,270,SMOOTH,2013/08/19 00:00:00+00,,{FCBBC3F5-FACF-4C23-B2A7-986ABD5D5D48},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0619,53.2388,55233,Small craft - Wind surf,GALWAY,20:32:00,2011,ATLANTIC 75,B-757,ILB,LEISURE,Sailboard,Thought to be in trouble,Resolved unaided,WINDSURFING / KITE SURFING,GOOD,PART CLOUDY,CHOPPY,PART CLOUDY,GOOD,225,CHOPPY,2011/08/14 00:00:00+00,,{D33D6BFD-B0AF-4809-99ED-CD9F30E32D7C},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0424,53.2448,55242,Small craft - Wind surf,GALWAY,16:10:00,2011,ATLANTIC 75,B-757,ILB,LEISURE,Sailboard,Sail failure / dismasting,Rendered assistance,WINDSURFING / KITE SURFING,GOOD,PART CLOUDY,CHOPPY,PART CLOUDY,GOOD,225,CHOPPY,2011/08/14 00:00:00+00,,{96F1BFFF-F7E1-4A00-85A4-CA823323D412},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0178,53.2605,55259,Sailing - Man overboard,GALWAY,18:23:00,2011,ATLANTIC 75,B-757,ILB,LEISURE,Yacht with engine,"Vessel abandoned, derelict or adrift",Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,315,SLIGHT,2011/08/05 00:00:00+00,,{DBDEA179-C436-43F7-8637-8703F8CF660D},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0791,53.2487,55260,Small craft - Kayak and canoeing,GALWAY,18:23:00,2011,ATLANTIC 75,B-757,ILB,LEISURE,Canoe/Kayak,Vessel overdue,Resolved unaided,KAYAKING,GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,315,SLIGHT,2011/08/05 00:00:00+00,,{2CBB92F3-EB02-468C-8421-5E80693C5D45},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.9823,53.2428,55274,Motorboating - Other reason,GALWAY,19:58:00,2011,ATLANTIC 75,B-757,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,SAILING,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,315,SMOOTH,2011/07/23 00:00:00+00,,{79152997-4DCA-433A-B318-551FC53571BF},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.3068,53.2389,55282,Motorboating - Other reason,GALWAY,17:02:00,2011,ATLANTIC 75,B-757,ILB,LEISURE,Powered boat,Fouled propeller / impeller,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLOUDY,CHOPPY,CLOUDY,GOOD,315,CHOPPY,2011/07/16 00:00:00+00,,{F410BB75-DA68-44DB-9696-1FFBB2AB4100},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
